#{"t_start": 1600280373.908319, "env_id": "widowx_reacher-v6"}
r,l,t
-3.275013,100,1.3243
-1.908153,100,1.839564
-4.237203,100,2.078806
-2.961882,100,2.319252
-3.417993,100,2.567517
-2.312061,100,2.812713
-2.198233,100,3.062006
-2.818168,100,3.301073
-3.68749,100,3.533748
-1.757997,100,3.765902
-3.341023,100,3.996986
-4.040442,100,4.228095
-4.301192,100,4.45792
-4.199752,100,4.68945
-2.051717,100,4.918751
-3.108603,100,5.150286
-3.90674,100,5.380069
-2.447343,100,5.612331
-3.774958,100,5.84996
-2.737031,100,6.085681
-3.11555,100,6.325399
-2.908312,100,6.562134
-3.442218,100,6.809175
-4.004693,100,7.04173
-3.130957,100,7.27548
-2.865325,100,7.507963
-4.343999,100,7.772285
-3.236141,100,8.011561
-2.462013,100,8.261992
-3.356155,100,8.494831
-2.723367,100,8.726434
-2.081338,100,8.970797
-4.412427,100,9.203083
-3.243266,100,9.437672
-3.20981,100,9.684465
-2.69202,100,9.934173
-3.035409,100,10.167078
-1.835373,100,10.405081
-3.322141,100,10.637617
-2.53449,100,10.869637
-5.209719,100,11.103269
-3.012302,100,11.334657
-3.144947,100,11.565112
-2.216723,100,11.797314
-2.269783,100,12.030648
-3.214868,100,12.268642
-1.746877,100,12.503794
-2.558011,100,12.740638
-3.340049,100,12.97499
-3.484348,100,13.209305
-2.940886,100,13.443397
-3.113919,100,13.683395
-3.036366,100,13.921589
-2.776122,100,14.15692
-1.909469,100,14.3951
-3.336757,100,14.628274
-3.563199,100,14.868872
-2.56383,100,15.103781
-1.862002,100,15.351431
-2.83878,100,15.603078
-2.663606,100,15.83952
-2.592425,100,16.073471
-1.738781,100,16.306139
-1.762725,100,16.537831
-2.817533,100,16.769663
-2.118344,100,17.003242
-2.420685,100,17.23431
-2.67239,100,17.468001
-3.84067,100,17.705044
-2.921722,100,17.939451
-2.55553,100,18.171561
-2.573616,100,18.405912
-1.838526,100,18.647434
-2.701501,100,18.896626
-2.632985,100,19.130639
-2.751208,100,19.363306
-2.202701,100,19.601027
-3.011528,100,19.842027
-2.723651,100,20.073832
-2.402017,100,20.316164
-2.928939,100,20.551411
-2.929224,100,20.783615
-2.141885,100,21.017704
-1.444974,100,21.25047
-2.217777,100,21.485301
-2.458266,100,21.731234
-3.158039,100,21.968457
-2.7058,100,22.201681
-3.008263,100,22.435885
-2.356129,100,22.693689
-2.651437,100,22.931297
-2.400275,100,23.173999
-2.612428,100,23.410425
-2.470918,100,23.641093
-2.63257,100,23.873226
-2.385487,100,24.104728
-2.518107,100,24.337775
-2.858691,100,24.569781
-2.325865,100,24.803389
-3.093944,100,25.036579
