#{"t_start": 1600280196.749506, "env_id": "widowx_reacher-v5"}
r,l,t
-2.596661,100,1.311067
-2.578638,100,1.803066
-2.935871,100,2.010708
-3.448125,100,2.220115
-2.052823,100,2.429739
-4.125331,100,2.640004
-2.588028,100,2.848586
-3.901349,100,3.055837
-2.410997,100,3.266902
-3.910709,100,3.474816
-3.781234,100,3.685277
-1.562275,100,3.902689
-3.543079,100,4.114774
-2.503957,100,4.327689
-3.682299,100,4.571118
-1.926193,100,4.797287
-4.388595,100,5.033112
-1.884627,100,5.248007
-4.545555,100,5.456136
-2.698343,100,5.671431
-3.839629,100,5.881623
-4.759336,100,6.098086
-2.267597,100,6.31742
-4.514738,100,6.530814
-4.138797,100,6.754765
-3.512279,100,6.978039
-2.452942,100,7.203545
-2.902643,100,7.423205
-2.08825,100,7.643578
-2.141866,100,7.855556
-3.167243,100,8.094999
-2.347578,100,8.328501
-3.403436,100,8.551165
-3.076881,100,8.767527
-3.160653,100,8.97615
-1.261552,100,9.191696
-2.279606,100,9.401307
-2.931525,100,9.609033
-3.096497,100,9.822958
-2.967064,100,10.035591
-3.220497,100,10.245694
-3.700714,100,10.458635
-3.859666,100,10.669262
-1.645639,100,10.882013
-3.342311,100,11.093584
-1.75148,100,11.30651
-2.782141,100,11.518129
-2.589746,100,11.728133
-1.934438,100,11.938894
-1.548113,100,12.149959
-1.260537,100,12.363332
-2.291665,100,12.578906
-2.115541,100,12.794356
-2.164745,100,13.006822
-3.332059,100,13.215647
-2.417376,100,13.429094
-1.578372,100,13.641031
-2.946286,100,13.853319
-2.384133,100,14.065839
-1.805897,100,14.27811
-1.13912,100,14.49048
-1.160013,100,14.702735
-2.355604,100,14.91593
-4.46546,100,15.128387
-2.857514,100,15.341082
-2.564747,100,15.554299
-2.156044,100,15.767731
-1.064793,100,15.979037
-1.515322,100,16.188397
-1.772325,100,16.406712
-1.559404,100,16.615242
-1.735464,100,16.831994
-1.819167,100,17.047392
-1.977694,100,17.273126
-1.703435,100,17.506398
-1.522049,100,17.731698
-1.999075,100,17.960024
-1.977459,100,18.179418
-2.01218,100,18.392501
-1.777654,100,18.609524
-2.068821,100,18.842417
-1.874963,100,19.068143
-1.860334,100,19.298216
-2.194065,100,19.51746
-2.034832,100,19.743072
-1.627212,100,19.962851
-1.559895,100,20.175807
-1.910372,100,20.394063
-2.094182,100,20.606118
-2.272068,100,20.818535
-2.174407,100,21.032517
-2.441409,100,21.242696
-2.321733,100,21.460886
-2.42589,100,21.6722
-2.369333,100,21.890208
-2.706732,100,22.108996
-2.655786,100,22.3216
-2.938747,100,22.543367
-7.349757,100,22.780214
-6.560339,100,23.000798
