#{"t_start": 1600280344.3778844, "env_id": "widowx_reacher-v5"}
r,l,t
-3.409963,100,1.174278
-3.851119,100,1.241351
-4.648609,100,1.631191
-5.855459,100,1.796597
-8.484802,100,1.955097
-5.06933,100,2.112888
-2.726681,100,2.271111
-2.818763,100,2.430399
-2.131893,100,2.592076
-3.103096,100,2.757189
-3.366505,100,2.913368
-2.805437,100,3.071598
-2.717121,100,3.228576
-2.513115,100,3.384241
-2.087387,100,3.543466
-2.032557,100,3.702153
-2.11145,100,3.864334
-1.745186,100,4.027693
-0.652674,100,4.19058
-0.491754,100,4.357044
-1.028315,100,4.524066
-2.001012,100,4.687415
-1.805314,100,4.849378
-1.075157,100,5.015712
-1.039073,100,5.178471
-1.200081,100,5.33725
-2.699304,100,5.509158
-3.235623,100,5.677901
-3.197611,100,5.84045
-4.780725,100,5.999655
-2.097466,100,6.161743
-1.890922,100,6.326759
-1.782708,100,6.492023
-2.804849,100,6.650541
-1.497127,100,6.818138
-1.583552,100,6.97709
-1.578726,100,7.133863
-1.615025,100,7.29076
-2.110332,100,7.451725
-2.002889,100,7.616489
-2.180688,100,7.784737
-0.750285,100,7.948915
-1.543911,100,8.112994
-0.477145,100,8.286237
-1.635384,100,8.45166
-0.334204,100,8.61879
-0.22857,100,8.783511
-0.214117,100,8.948127
-0.167083,100,9.119317
-0.13839,100,9.284296
-0.137582,100,9.449456
-0.137804,100,9.612182
-0.139073,100,9.770002
-0.140782,100,9.928782
-0.148627,100,10.10177
-0.138732,100,10.269848
-0.130156,100,10.441416
-0.130291,100,10.606682
-0.133661,100,10.771804
-0.131169,100,10.939348
-0.131906,100,11.101875
-0.131404,100,11.268096
-0.134991,100,11.429925
-0.134911,100,11.604481
-0.147031,100,11.772873
-0.257792,100,11.936981
-0.26866,100,12.099799
-0.279632,100,12.261713
-0.294835,100,12.431207
-0.304016,100,12.593262
-0.279966,100,12.762859
-0.220709,100,12.930138
-0.193683,100,13.093688
-0.185398,100,13.260506
-0.261921,100,13.424176
-0.303081,100,13.58984
-0.352939,100,13.750766
-0.373062,100,13.918447
-0.379431,100,14.082369
-0.395194,100,14.246245
-0.372795,100,14.411573
-0.399871,100,14.577002
-0.397542,100,14.738095
-0.410081,100,14.902765
-0.405517,100,15.071927
-0.48613,100,15.233836
-0.502572,100,15.404268
-0.534476,100,15.576223
-0.468972,100,15.746452
-0.475718,100,15.907798
-0.523121,100,16.072976
-0.427066,100,16.242625
-0.407738,100,16.402856
-0.420581,100,16.569427
-0.401146,100,16.732306
-0.387442,100,16.908038
-0.399669,100,17.072043
-0.347199,100,17.245037
-0.411116,100,17.411423
-0.367085,100,17.578704
