#{"t_start": 1589927995.4983306, "env_id": "widowx_reach-v3"}
r,l,t
-1.376324,100,2.94695
-2.072301,100,3.142451
-1.236948,100,3.340338
-1.203083,100,3.541851
-1.731325,100,3.739754
-0.749197,100,3.941069
-0.71056,100,4.138866
-1.24505,100,4.338841
-1.337613,100,4.540874
-0.889563,100,4.742347
-2.720717,100,4.939029
-2.387634,100,5.137477
-1.545507,100,5.855879
-0.715072,100,6.056027
-2.175355,100,6.256416
-1.556011,100,6.453042
-1.684875,100,6.652242
-1.803717,100,6.850715
-1.530565,100,7.049309
-1.926777,100,7.247252
-0.640705,100,7.447922
-2.062075,100,7.646315
-1.119136,100,7.841379
-2.256623,100,8.036197
-1.311439,100,8.237324
-1.571724,100,8.850574
-1.882271,100,9.048847
-1.53773,100,9.245041
-0.807338,100,9.442783
-2.139631,100,9.641573
-1.974868,100,9.840599
-2.7083,100,10.038931
-1.186277,100,10.240003
-0.812267,100,10.437197
-0.861062,100,10.638655
-1.150767,100,10.83934
-1.378284,100,11.036331
-2.458075,100,11.648709
-1.811439,100,11.850507
-1.551852,100,12.052023
-2.451203,100,12.260172
-0.993832,100,12.46093
-0.91691,100,12.662935
-1.236075,100,12.865218
-0.920559,100,13.071839
-1.282278,100,13.279026
-1.539348,100,13.47977
-1.23333,100,13.677843
-1.697907,100,13.878837
-2.320592,100,14.076626
-1.215598,100,14.735217
-1.098858,100,14.932425
-1.002224,100,15.128951
-0.602714,100,15.322655
-1.781363,100,15.519455
-1.337583,100,15.715484
-1.004478,100,15.913024
-1.242604,100,16.111776
-1.454422,100,16.309818
-2.316905,100,16.507478
-1.258638,100,16.708447
-4.134488,100,16.908724
-2.263894,100,17.526529
-2.289608,100,17.729113
-0.574025,100,17.936328
-1.437087,100,18.146069
-1.440614,100,18.352134
-2.63675,100,18.557142
-1.563866,100,18.765104
-1.645488,100,18.970112
-2.204779,100,19.176246
-1.378744,100,19.385618
-1.218377,100,19.587951
-1.295487,100,19.796072
-1.31179,100,20.007572
-1.854618,100,20.632601
-1.315623,100,20.843415
-2.32136,100,21.056447
-2.660264,100,21.278912
-0.59582,100,21.507166
-1.109882,100,21.705174
-0.956226,100,21.900168
-1.166459,100,22.099057
-2.276267,100,22.292827
-0.554925,100,22.496669
-0.905189,100,22.695922
-0.647318,100,22.891381
-0.390595,100,23.493783
-1.362285,100,23.694581
-1.260633,100,23.889721
-1.877889,100,24.081943
-0.591712,100,24.282511
-1.148254,100,24.480326
-1.768521,100,24.676955
-0.930586,100,24.874863
-1.319371,100,25.070997
-3.077146,100,25.269622
-3.940349,100,25.463271
-1.165539,100,25.66261
-1.324215,100,25.85943
-1.738618,100,26.475969
-0.899616,100,26.674599
-1.32272,100,26.875435
-0.603427,100,27.068169
-2.304843,100,27.267572
-1.182763,100,27.463788
-1.8208,100,27.661546
-2.301465,100,27.861785
-1.033626,100,28.055396
-0.474966,100,28.251147
-0.846937,100,28.45
-1.44002,100,28.643104
-1.568697,100,29.257683
-1.7679,100,29.459342
-1.071317,100,29.6565
-1.604658,100,29.84949
-1.580897,100,30.046531
-2.283234,100,30.246645
-1.725567,100,30.444188
-2.012645,100,30.638342
-1.198419,100,30.840274
-2.410724,100,31.036702
-0.819494,100,31.230935
-0.842538,100,31.428797
-2.958623,100,31.62547
-0.790978,100,32.257327
-1.077441,100,32.451015
-0.871646,100,32.645617
-0.773057,100,32.842875
-1.507673,100,33.039923
-1.270678,100,33.235516
-0.585086,100,33.430736
-0.93013,100,33.625076
-0.846025,100,33.822114
-0.581361,100,34.0174
-0.707611,100,34.218561
-1.4595,100,34.415181
-2.002194,100,35.032238
-1.285956,100,35.22804
-1.503034,100,35.424533
-1.467775,100,35.619005
-0.303612,100,35.815467
-1.215037,100,36.011614
-0.708006,100,36.203421
-1.89455,100,36.406286
-1.132073,100,36.60518
-1.872554,100,36.803701
-0.561451,100,36.999972
-1.127436,100,37.194596
-1.384109,100,37.3943
-1.714629,100,38.019148
-0.787621,100,38.216832
-1.581308,100,38.415548
-1.013288,100,38.609831
-1.691296,100,38.809188
-0.455478,100,39.004351
-1.538566,100,39.195895
-1.202245,100,39.388876
-0.88914,100,39.58316
-2.122243,100,39.775084
-1.031366,100,39.971865
-0.897654,100,40.16457
-0.764367,100,40.765216
-0.945665,100,40.962264
-2.137215,100,41.160102
-1.935282,100,41.361459
-2.864134,100,41.56089
-1.914203,100,41.755511
-1.147753,100,41.951714
-0.924573,100,42.147224
-1.816569,100,42.341912
-2.099088,100,42.534848
-2.539867,100,42.73123
-2.396071,100,42.923288
-0.641109,100,43.115866
-0.85356,100,43.711803
-0.935748,100,43.908619
-1.426652,100,44.102599
-1.31604,100,44.297175
-0.822781,100,44.492744
-1.235396,100,44.686905
-0.754457,100,44.881581
-2.055534,100,45.081461
-1.27375,100,45.277131
-3.347417,100,45.475901
-1.120433,100,45.668477
-0.865437,100,45.862039
-1.381645,100,46.463337
-0.987797,100,46.660347
-1.998796,100,46.856426
-0.962469,100,47.057097
-1.268756,100,47.257058
-2.645492,100,47.46286
-1.330468,100,47.660783
-1.189911,100,47.85402
-1.243183,100,48.052297
-2.769327,100,48.25153
-0.805596,100,48.442718
-2.437038,100,48.638086
-1.592742,100,48.831611
-1.971963,100,49.446644
-1.626613,100,49.643457
-0.98285,100,49.839416
-1.278908,100,50.035917
-1.465884,100,50.232289
-1.481051,100,50.431345
-1.148482,100,50.62732
-3.058837,100,50.824051
-2.828979,100,51.017359
-1.049728,100,51.218596
-1.109702,100,51.412519
-2.677332,100,51.606355
-2.485867,100,52.200019
-1.656185,100,52.399195
-1.092836,100,52.597995
