#{"t_start": 1589928292.8183575, "env_id": "widowx_reach-v3"}
r,l,t
-1.28446,100,4.638071
-1.541144,100,4.86552
-0.860769,100,5.110947
-2.192256,100,5.356744
-2.075284,100,5.611837
-1.609874,100,5.853441
-1.864644,100,6.095344
-2.758318,100,6.337322
-3.965343,100,6.588289
-4.1041,100,6.829897
-3.014866,100,7.0708
-3.44355,100,7.311515
-2.569688,100,8.072487
-3.515522,100,8.312686
-4.663702,100,8.553126
-2.958627,100,8.795498
-2.437485,100,9.047983
-2.500141,100,9.292482
-2.516236,100,9.537302
-2.776903,100,9.777478
-2.833556,100,10.025821
-3.867251,100,10.265073
-2.417073,100,10.505104
-2.757958,100,10.74558
-4.131953,100,10.993958
-2.632625,100,11.646869
-3.262392,100,11.886568
-3.019961,100,12.126284
-2.819397,100,12.374388
-3.439671,100,12.613992
-3.078632,100,12.856589
-3.382538,100,13.099609
-3.085273,100,13.352333
-3.648426,100,13.595267
-3.116135,100,13.834971
-3.303326,100,14.075093
-3.029853,100,14.323819
-2.379294,100,14.999992
-3.574681,100,15.253518
-2.841914,100,15.513415
-2.887629,100,15.779696
-3.232712,100,16.044798
-3.159767,100,16.31063
-3.307621,100,16.584205
-3.181057,100,16.86728
-3.066433,100,17.143333
-3.26135,100,17.420913
-3.341945,100,17.664218
-3.271013,100,17.913148
-3.229263,100,18.152755
-2.962969,100,18.796764
-3.042987,100,19.04037
-3.222642,100,19.288806
-3.412601,100,19.529078
-3.286647,100,19.768635
-3.020028,100,20.008289
-2.761773,100,20.259608
-3.126067,100,20.49876
-3.134537,100,20.739749
-3.052505,100,20.983082
-3.204845,100,21.234761
-2.935885,100,21.478322
-2.895297,100,22.123389
-2.598263,100,22.362951
-3.060327,100,22.614505
-3.280513,100,22.853261
-3.211322,100,23.092123
-3.256639,100,23.331232
-3.239283,100,23.581387
-3.264262,100,23.819265
-3.317728,100,24.058709
-3.197213,100,24.298288
-3.219038,100,24.546263
-3.379442,100,24.787924
-3.156637,100,25.03145
-3.204634,100,25.680974
-3.24229,100,25.929405
-3.248784,100,26.168717
-3.321436,100,26.408442
-3.214008,100,26.648249
-2.762994,100,26.896884
-3.244356,100,27.135491
-1.676796,98,27.370715
-2.9759,100,27.610747
-2.510337,100,27.859281
-3.101172,100,28.098978
-2.583208,100,28.338782
-2.551059,100,28.996816
-2.561079,100,29.249017
-2.614554,100,29.492887
-2.679264,100,29.732783
-3.350312,100,29.972435
-2.627519,100,30.220675
-3.030704,100,30.459843
-2.703478,100,30.698873
-3.045705,100,30.937902
-3.251924,100,31.185961
-3.227285,100,31.424837
-2.564411,100,31.663443
-3.295782,100,31.902521
-2.76186,100,32.568501
-2.986748,100,32.810231
