#{"t_start": 1589941008.5525148, "env_id": "widowx_reach-v3"}
r,l,t
-1.510925,100,2.895998
-1.636863,100,2.960228
-1.533135,100,3.437186
-1.84527,100,3.696656
-2.162104,100,3.959405
-2.002996,100,4.220709
-0.592703,100,4.481009
-0.628127,100,4.733995
-0.527752,100,4.976485
-0.438904,100,5.212891
-0.43463,100,5.450534
-0.44217,100,5.702188
-0.462644,100,5.96472
-0.578529,100,6.224969
-0.664764,100,6.486431
-0.876865,100,6.747102
-0.780119,100,7.006595
-0.6679,100,7.268678
-0.449518,100,7.528067
-0.436161,100,7.788837
-0.608958,100,8.035829
-0.696533,100,8.283684
-0.706541,100,8.533691
-0.708064,100,8.784136
-0.70801,100,9.02398
-0.710121,100,9.263933
-0.714514,100,9.507366
-0.702993,100,9.765707
-0.700141,100,10.030241
-0.711233,100,10.291567
-0.637447,100,10.552968
-0.572515,100,10.811492
-0.673845,100,11.055809
-0.697652,100,11.291456
-0.646905,100,11.528028
-0.639311,100,11.761434
-0.581587,100,11.997019
-0.593135,100,12.23255
-0.550148,100,12.468786
-0.532789,100,12.702003
-0.460955,100,12.925079
-0.422413,100,13.157903
-0.49227,100,13.382589
-0.399527,100,13.608047
-0.403147,100,13.832854
-0.400157,100,14.097356
-0.398574,100,14.362716
-0.419132,100,14.624941
-0.399892,100,14.890621
-0.404099,100,15.154856
-0.412857,100,15.420082
-0.425122,100,15.68136
-0.417941,100,15.941142
-0.43756,100,16.205122
-0.441981,100,16.466644
-0.422714,100,16.729818
-0.448887,100,16.970777
-0.431397,100,17.211303
-0.429421,100,17.452446
-0.443648,100,17.71118
-0.434341,100,17.972228
-0.422331,100,18.222827
-0.423925,100,18.471537
-0.455613,100,18.722793
-0.439816,100,18.985767
-0.449522,100,19.249135
-0.431144,100,19.512318
-0.402586,100,19.775905
-0.412866,100,20.035933
-0.430052,100,20.299222
-0.42684,100,20.559566
-0.475904,100,20.807733
-0.45297,100,21.048973
-0.487243,100,21.298019
-0.468125,100,21.543389
-0.42165,100,21.80538
-0.447469,100,22.066357
-0.446063,100,22.327456
-0.485676,100,22.588041
-0.47772,100,22.850726
-0.472441,100,23.11133
-0.472622,100,23.360461
-0.467706,100,23.609038
-0.469138,100,23.860504
-0.464412,100,24.117306
-0.49202,100,24.375995
-0.481124,100,24.64039
-0.509151,100,24.88636
-0.51328,100,25.128469
-0.474257,100,25.373046
-0.512379,100,25.629141
-0.493831,100,25.89116
-0.50527,100,26.156397
-0.494892,100,26.420342
-0.49929,100,26.671794
-0.506193,100,26.920583
-0.498695,100,27.173055
-0.542251,100,27.426793
-0.499284,100,27.688355
-0.488726,100,27.953428
-0.495352,100,28.607992
-0.521479,100,28.878657
-0.487207,100,29.1248
-0.496758,100,29.367903
-0.498544,100,29.624053
-0.492671,100,29.888046
-0.47799,100,30.143758
-0.489066,100,30.407762
-0.497173,100,30.672121
-0.477504,100,30.938087
-0.492152,100,31.200195
-0.455819,100,31.466323
-0.464064,100,31.730886
-0.50797,100,31.995605
-0.490271,100,32.261186
-0.479049,100,32.523826
-0.48701,100,32.780222
-0.451722,100,33.020901
-0.495844,100,33.266476
-1.666488,100,33.51183
-1.462116,100,33.761999
-0.717885,100,34.011137
-0.575805,100,34.269033
-0.52862,100,34.533838
-0.590466,100,34.798541
-0.601724,100,35.061418
-0.562258,100,35.322667
-0.5324,100,35.585943
-0.533287,100,35.846786
-0.539915,100,36.083037
-0.571902,100,36.317945
-0.572559,100,36.554708
-0.558943,100,36.784146
-0.546151,100,37.010729
-0.539425,100,37.235435
-0.533166,100,37.460083
-0.532021,100,37.702809
-0.522562,100,37.966968
-0.513493,100,38.225555
-0.527432,100,38.485124
-0.519763,100,38.734006
-0.54037,100,38.983712
-0.563485,100,39.231845
-0.528463,100,39.506648
-0.554967,100,39.773314
-0.477942,100,40.042005
-0.525237,100,40.310684
-0.553724,100,40.577189
-0.53008,100,40.828011
-0.548372,100,41.072112
-0.554765,100,41.317045
-0.550451,100,41.56249
-0.530123,100,41.834845
-0.573989,100,42.099179
-0.545586,100,42.364903
-0.578127,100,42.635696
-0.582209,100,42.902308
-0.555636,100,43.16917
-0.583604,100,43.437338
-0.562593,100,43.696888
-0.568991,100,43.951636
-0.557895,100,44.202892
-0.575404,100,44.455873
-0.480149,100,44.717432
-0.482419,100,44.964113
-0.540804,100,45.2081
-0.542669,100,45.453473
-0.542388,100,45.721652
-0.533324,100,45.989659
-0.535996,100,46.254719
-0.547399,100,46.522253
-0.556117,100,46.788425
-0.553131,100,47.052671
-0.55217,100,47.319927
-0.538812,100,47.584935
-0.524654,100,47.851062
-0.530751,100,48.112682
-0.541809,100,48.378236
-0.535859,100,48.651163
-0.539928,100,48.897124
-0.546353,100,49.141272
-0.423202,100,49.384636
-0.440074,100,49.63829
-0.532977,100,49.898893
-0.414348,100,50.168509
-0.421597,100,50.436842
-0.446996,100,50.707111
-0.412769,100,50.973678
-0.415201,100,51.242474
-0.424999,100,51.508086
-0.499851,100,51.772738
-0.475011,100,52.041409
-0.503842,100,52.30782
-0.434808,100,52.579121
-0.539985,100,52.832687
-0.549609,100,53.076488
-0.428757,100,53.321081
-0.492478,100,53.573053
-0.449162,100,53.836965
-0.486175,100,54.101999
-0.508486,100,54.660135
-0.500309,100,54.912466
-0.503447,100,55.176055
-0.459442,100,55.443206
-0.484165,100,55.709402
-0.465878,100,55.975444
-0.445701,100,56.235713
-0.430139,100,56.499237
-0.455952,100,56.761677
-0.423733,100,57.004937
-0.464098,100,57.253066
-0.540202,100,57.49962
-0.430053,100,57.767769
-0.409468,100,58.034147
-0.391659,100,58.300227
-0.432536,100,58.562952
-0.390617,100,58.828489
-0.404784,100,59.095717
-0.42421,100,59.349728
-0.416017,100,59.604607
-0.418142,100,59.856601
-0.425939,100,60.124613
-0.432923,100,60.395927
-0.407869,100,60.66428
-0.393988,100,60.907861
-0.418228,100,61.133747
-0.393322,100,61.3607
-0.377761,100,61.589891
-0.404572,100,61.847281
-0.405215,100,62.109205
-0.392479,100,62.374991
-0.415309,100,62.641054
-0.40877,100,62.907272
-0.456173,100,63.171307
-0.19358,39,63.402348
-0.531375,100,63.669101
-0.194145,38,63.693282
-0.195479,39,63.92109
-0.194217,39,63.945688
-0.399117,100,64.210348
-0.371841,100,64.462048
-0.396989,100,64.716486
-0.536162,100,64.960362
-0.508701,100,65.204985
-0.20398,43,65.232589
-0.646426,100,65.481925
-0.406747,100,65.75254
-0.406931,100,66.018743
-0.197273,41,66.246596
-0.198736,41,66.27249
-0.192211,38,66.513433
-0.459094,100,66.785282
-0.372494,100,67.053003
-0.395227,100,67.322731
-0.406148,100,67.590043
-0.192191,38,67.614542
-0.191721,38,67.639047
-0.81798,100,67.907421
-0.478624,100,68.173252
-0.196207,40,68.398261
-0.196775,40,68.424309
-0.461568,100,68.689264
-0.392684,100,68.934712
-0.424331,100,69.181202
-0.398033,100,69.426062
-0.427214,100,69.681104
-0.476537,100,69.937669
-0.470712,100,70.191523
-0.196853,40,70.421128
-0.194536,38,70.445725
-0.191934,38,70.469932
-0.419796,100,70.740031
-0.192829,38,70.969119
-0.192308,39,70.993783
-0.192167,38,71.220564
-0.476892,100,71.489196
-0.413735,100,71.753513
-0.389663,100,72.02125
-0.623914,100,72.285647
-0.195529,40,72.311247
-0.416856,100,72.582341
-0.379891,100,72.83687
-0.382172,100,73.080376
-0.394497,100,73.327196
-0.378261,100,73.585669
-0.390689,100,73.85462
-0.380576,100,74.1225
-0.376212,100,74.388529
-0.378689,100,74.64844
-0.377282,100,74.902254
-0.387996,100,75.154165
-0.37824,100,75.40921
-0.373696,100,75.674813
-0.369934,100,75.942877
-0.378287,100,76.207825
-0.378313,100,76.473438
-0.39568,100,76.733569
-0.19906,41,76.759669
-0.192773,38,76.964519
-0.193196,38,76.988629
-0.19107,38,77.013002
-0.37556,100,77.257674
-0.375423,100,77.502667
-0.378155,100,77.76937
-0.374102,100,78.032286
-0.19266,38,78.24538
-0.196519,38,78.269502
-0.375432,100,78.52386
-0.385708,100,78.777977
-0.384916,100,79.043144
-0.388293,100,79.308859
-0.196246,38,79.533665
-0.449048,100,79.803721
-0.363111,100,80.05927
-0.381149,100,80.312214
-0.378577,100,80.880675
-0.3672,100,81.127324
-0.366179,100,81.370517
-0.376134,100,81.637406
-0.445248,100,81.90297
-0.193033,38,81.927354
-0.19374,38,81.951919
-0.378016,100,82.219462
-0.198181,42,82.453173
-0.194561,39,82.477836
-0.37484,100,82.743199
-0.373738,100,83.011055
-0.363548,100,83.277903
-0.377551,100,83.546067
-0.197439,38,83.7723
-0.435129,100,84.039454
-0.193675,38,84.064612
-0.194172,38,84.088843
-0.378805,100,84.353357
-0.378031,100,84.622356
-0.421366,100,84.871246
-0.195639,39,85.077273
-0.197679,39,85.102102
-0.429773,100,85.348191
-0.393333,100,85.602695
-0.390574,100,85.857099
-0.452951,100,86.119745
-0.627348,100,86.383281
-0.523829,100,86.653724
-0.198515,40,86.884726
-0.378066,100,87.1519
-0.383599,100,87.419264
-0.197555,39,87.444749
-0.198597,39,87.469144
-0.200276,39,87.697966
-0.201469,40,87.723342
-0.202146,39,87.747983
-0.197443,39,87.975391
-0.200491,40,88.000705
-0.199097,39,88.231095
-0.197682,39,88.255775
-0.197664,39,88.280742
-0.408764,100,88.547102
-0.194981,38,88.764637
-0.201404,39,88.789161
-0.200384,39,88.9956
-0.580534,100,89.24186
-0.198102,40,89.266958
-0.197682,40,89.292225
-0.398379,100,89.546494
-0.428044,100,89.816437
-0.403075,100,90.084949
-0.410621,100,90.34815
-0.415383,100,90.602525
-0.201184,40,90.823996
-0.205139,41,90.850775
-0.431594,100,91.106674
-0.414741,100,91.375299
-0.408667,100,91.642935
-0.203987,40,91.874979
-0.19804,39,91.900264
-0.198683,39,91.925788
-0.449655,100,92.193371
-0.478977,100,92.461618
-0.46949,100,92.723327
-0.396633,100,92.968049
-0.381903,100,93.213071
-0.384156,100,93.457761
-0.44015,100,93.725905
-0.201335,40,93.957838
-0.19614,39,93.98245
-0.57016,100,94.258063
-0.440129,100,94.531285
-0.383342,100,94.803725
-0.462101,100,95.074477
-0.438226,100,95.345185
-0.191962,38,95.569347
-0.19207,38,95.593354
-0.195219,38,95.617697
-0.385078,100,95.878093
-0.392591,100,96.138033
-0.366527,100,96.401317
-0.485282,100,96.670954
-0.836539,100,96.922444
-0.516024,100,97.169783
-0.192705,40,97.377395
-0.193732,38,97.401626
-0.199221,41,97.632571
-0.193974,39,97.657759
-0.196538,39,97.682735
-0.192619,38,97.914591
-0.592887,100,98.181442
-0.194052,38,98.205623
-0.199557,40,98.23127
-0.776376,100,98.499999
-0.193342,38,98.734075
