r,r,mean_reward,std_reward,upper,lower,timesteps
-0.527089,-1.954678,-1.2408835,1.009457862647322,-0.23142563735267796,-2.250341362647322,100
-1.027614,-2.126224,-1.5769190000000002,0.776834580879353,-0.8000844191206472,-2.3537535808793533,200
-1.5154590000000001,-1.263405,-1.389432,0.1782290926251942,-1.2112029073748058,-1.5676610926251942,300
-1.12761,-1.036672,-1.082141,0.06430287646754224,-1.0178381235324578,-1.1464438764675422,400
-1.8596599999999999,-1.530337,-1.6949985,0.23286652650069725,-1.4621319734993028,-1.9278650265006974,500
-2.262427,-2.8049630000000003,-2.5336950000000003,0.38363088463782485,-2.1500641153621753,-2.917325884637825,600
-1.759084,-2.082378,-1.920731,0.22860337971692352,-1.6921276202830764,-2.1493343797169233,700
-3.694181,-3.806061,-3.750121,0.07911110667915108,-3.671009893320849,-3.829232106679151,800
-0.597568,-1.0477379999999998,-0.8226529999999999,0.318318259686748,-0.5043347403132519,-1.1409712596867478,900
-1.10337,-2.226441,-1.6649055,0.7941311198539571,-0.8707743801460428,-2.459036619853957,1000
-2.097039,-0.9451,-1.5210695,0.8145438784132504,-0.7065256215867497,-2.3356133784132505,1100
-0.820584,-0.917875,-0.8692295,0.0687951258484204,-0.8004343741515796,-0.9380246258484204,1200
-0.691477,-2.267923,-1.4797,1.1147156567744083,-0.3649843432255917,-2.5944156567744083,1300
-1.5163719999999998,-0.820527,-1.1684495,0.492036718154753,-0.6764127818452469,-1.660486218154753,1400
-0.57376,-2.292656,-1.433208,1.2154430177544318,-0.21776498224556828,-2.648651017754432,1500
-3.0127349999999997,-3.394712,-3.2037234999999997,0.2700985269572942,-2.9336249730427055,-3.473822026957294,1600
-0.42977200000000004,-1.487333,-0.9585525,0.7478085546184263,-0.2107439453815737,-1.7063610546184265,1700
-1.584649,-1.893048,-1.7388485,0.21807102421115013,-1.52077747578885,-1.9569195242111501,1800
-2.507293,-0.757425,-1.6323590000000001,1.2373435289813417,-0.3950154710186584,-2.8697025289813416,1900
-1.3586340000000001,-3.931276,-2.644955,1.819132603765322,-0.825822396234678,-4.464087603765321,2000
-2.176528,-2.171987,-2.1742575,0.003210971893367889,-2.1710465281066322,-2.1774684718933677,2100
-2.3769259999999997,-1.3013649999999999,-1.8391454999999999,0.7605364766797841,-1.0786090233202157,-2.599681976679784,2200
-1.105317,-1.8629220000000002,-1.4841195000000003,0.5357076329608343,-0.9484118670391659,-2.0198271329608346,2300
-3.468954,-5.442678,-4.455816,1.3956336245906371,-3.0601823754093633,-5.8514496245906376,2400
-0.5028560000000001,-0.24235399999999999,-0.372605,0.18420273071265808,-0.18840226928734194,-0.5568077307126581,2443
-1.856769,-1.845525,-1.851147,0.007950708647661406,-1.8431962913523388,-1.8590977086476614,2543
-1.691153,-1.925187,-1.80817,0.16548702842821253,-1.6426829715717874,-1.9736570284282127,2643
-0.577078,-1.258769,-0.9179235,0.4820283287738388,-0.4358951712261612,-1.3999518287738388,2743
-1.8603150000000002,-1.46294,-1.6616275,0.2809865571740045,-1.3806409428259956,-1.9426140571740045,2843
