#{"t_start": 1589943484.036798, "env_id": "widowx_reach-v3"}
r,l,t
-1.263405,100,2.301162
-0.9451,100,2.49422
-0.757425,100,3.45222
-1.258769,100,3.633549
-0.942212,100,3.818057
-0.694733,100,4.501559
-0.850224,100,4.681868
-1.414934,100,5.357208
-1.425726,100,5.537089
-2.245838,100,5.723743
-1.347019,100,6.415009
-1.487429,100,6.598993
-0.684153,100,7.787663
-1.082158,100,7.96926
-1.32417,100,8.151003
-1.832147,100,8.834891
-2.159014,100,9.018531
-1.764815,100,9.709003
-1.745225,100,9.912352
-1.90855,100,10.116987
-1.456609,100,10.808253
-1.346859,100,10.989398
-1.329653,100,11.1716
-1.460367,100,11.838623
-2.14379,100,12.020255
-1.326553,100,13.129166
-1.372299,100,13.311083
-1.144929,100,13.492483
-1.497919,100,14.197487
-1.534196,100,14.389574
-1.046507,100,15.062922
-1.488885,100,15.25056
-0.624241,100,15.437589
-0.68923,100,16.116175
-0.892723,100,16.296845
-0.991077,100,16.987423
-1.366234,100,17.169502
-0.736811,100,17.775558
-1.841823,100,18.474821
-1.968626,100,18.655046
-1.42424,100,19.337854
-1.313359,100,19.518025
-1.334085,100,19.699193
-1.039073,100,20.367651
-1.202869,100,20.553626
-1.308193,100,20.740225
-0.53755,100,21.41957
-0.498889,100,21.605004
-0.639882,100,22.309828
-0.87934,100,22.496846
-0.996748,100,23.111969
-0.649234,100,23.79085
-0.832465,100,23.972056
-1.326862,100,24.651501
-0.885759,100,24.832095
-0.608921,100,25.012403
-1.31297,100,25.70043
-0.645204,100,25.885922
-0.714575,100,26.573501
-0.7805,100,26.760462
-1.229157,100,26.950844
-0.505407,100,27.640912
-1.020175,100,28.26504
-0.964623,100,28.454085
-0.933868,100,29.146604
-0.419334,100,29.327207
-0.681571,100,30.023278
-0.193805,53,30.125937
-0.529769,100,30.313485
-1.20802,100,31.013049
-0.397273,100,31.200122
-1.318005,100,31.385046
-0.190358,55,31.99542
-1.59619,100,32.183831
-0.786998,100,32.371513
-1.283148,100,33.496457
-1.167039,100,33.689745
-1.090296,100,34.413694
-0.651053,100,34.61348
