#{"t_start": 1589931699.5889108, "env_id": "widowx_reach-v3"}
r,l,t
-0.621382,100,4.031071
-0.387,100,4.95631
-0.757511,100,5.313735
-0.334579,100,5.669775
-0.47273,100,6.024104
-0.401962,100,6.384153
-0.439457,100,6.740886
-0.641133,100,7.099589
-0.47237,100,7.459482
-0.411023,100,7.818919
-0.415623,100,8.184256
-0.356617,100,8.542817
-0.372707,100,8.901628
-0.560249,100,9.262678
-0.422591,100,9.623923
-0.40173,100,9.986336
-0.402594,100,10.347404
-0.480116,100,10.712667
-0.506067,100,11.072355
-0.794809,100,11.43363
-0.380227,100,11.794517
-0.537654,100,12.158202
-0.337983,100,12.5207
-0.329727,100,12.884124
-0.395937,100,13.247515
-0.507865,100,13.612256
-0.388521,100,13.969962
-0.991664,100,14.328908
-0.521081,100,14.690018
-0.488177,100,15.051667
-0.490924,100,15.415347
-0.87534,100,15.776764
-0.319578,100,16.135113
-0.383969,100,16.493904
-0.488762,100,16.85632
-0.603951,100,17.21429
-0.512433,100,17.574285
-0.449746,100,17.935933
-0.855578,100,18.297746
-0.52908,100,18.662014
-0.399742,100,19.021229
-0.369684,100,19.380202
-0.50016,100,19.743381
-0.501637,100,20.106806
-0.909569,100,20.46981
-0.425247,100,20.8305
-1.150895,100,21.19577
-0.683833,100,21.556546
-0.607364,100,21.923095
-0.490457,100,22.28348
-1.523025,100,22.64612
-0.470113,100,23.00759
-1.300522,100,23.371666
-2.238738,100,23.732453
-0.596763,100,24.093125
-1.295566,100,24.454533
-1.934489,100,24.817715
-0.451604,100,25.185405
-0.416677,100,25.566267
-1.487313,100,25.928934
-0.682546,100,26.28816
-0.591864,100,26.649928
-0.979879,100,27.009956
-3.167921,100,27.372191
-1.382509,100,27.732485
-0.946472,100,28.097045
-2.285964,100,28.456544
-1.762157,100,28.814416
-1.010033,100,29.176367
-0.494586,100,29.538276
-0.6186,100,29.897305
-0.875795,100,30.260574
-0.641449,100,30.619232
-2.417231,100,30.978373
-1.891819,100,31.337523
-1.158169,100,31.698668
-0.848872,100,32.058442
-0.489002,100,32.420351
-1.291638,100,32.778795
-0.689441,100,33.136048
-0.719296,100,33.493484
-0.576209,100,33.853399
-0.560845,100,34.212311
-0.490285,100,34.575877
-0.561173,100,34.9414
-0.544659,100,35.30717
-0.523478,100,35.670847
-0.509701,100,36.032449
-0.580094,100,36.395661
-0.461762,100,36.756156
-0.562744,100,37.120036
-0.536028,100,37.482864
-1.384924,100,37.848508
-0.880431,100,38.213083
-0.332008,100,38.576558
-0.658619,100,38.943017
-0.657626,100,39.305459
-0.533382,100,39.66789
-0.567486,100,40.032739
-0.367486,100,40.397208
-0.473907,100,41.08888
-0.415978,100,41.451127
-0.593391,100,41.809931
-0.784847,100,42.170624
-0.473202,100,42.533361
-0.604467,100,42.898129
-0.568884,100,43.26477
-0.403762,100,43.625912
-1.042742,100,43.987059
-0.507548,100,44.350555
-0.571363,100,44.714211
-0.572161,100,45.075228
-0.426766,100,45.433622
-0.640638,100,45.792014
-0.403096,100,46.153094
-0.545192,100,46.512247
-0.49531,100,46.874486
-0.464751,100,47.239357
-0.531095,100,47.607898
-1.068318,100,47.972048
-1.175335,100,48.334673
-0.515428,100,48.695438
-0.517436,100,49.059399
-0.554089,100,49.423059
-0.525545,100,49.784212
-0.791865,100,50.149361
-1.17286,100,50.513615
-0.754681,100,50.880809
-0.790643,100,51.24559
-0.483104,100,51.612516
-0.657557,100,51.974836
-0.618077,100,52.336416
-0.497043,100,52.703719
-0.847116,100,53.065441
-1.200591,100,53.427226
-0.8744,100,53.79155
-1.204693,100,54.154372
-1.352279,100,54.515304
-1.326629,100,54.877625
-1.22848,100,55.2416
-0.780122,100,55.601992
-1.333044,100,55.966199
-0.87447,100,56.32904
-1.18284,100,56.689605
-1.233314,100,57.051477
-1.663379,100,57.417442
-0.626509,100,57.776707
-0.441436,100,58.138991
-0.728044,100,58.496845
-0.481219,100,58.864599
-0.481891,100,59.224954
-0.791464,100,59.582754
-0.388061,100,59.946158
-0.393941,100,60.306725
-0.403207,100,60.668281
-0.423483,100,61.027102
-0.432034,100,61.388634
-0.720004,100,61.749431
-1.27408,100,62.10888
-0.632565,100,62.470646
-0.530471,100,62.837776
-0.827451,100,63.201168
-0.416564,100,63.563279
-0.693026,100,63.926468
-0.799256,100,64.289318
-0.452715,100,64.652015
-0.412075,100,65.021858
-0.739322,100,65.387828
-0.593363,100,65.750525
-0.497439,100,66.112316
-0.59519,100,66.474613
-0.495745,100,66.837736
-0.49612,100,67.201039
-0.529932,100,67.568142
-0.505808,100,67.932407
-0.506258,100,68.294643
-0.485187,100,68.655676
-0.490282,100,69.018713
-0.544507,100,69.38023
-0.552528,100,69.74382
-0.505998,100,70.108918
-0.589565,100,70.471481
-0.526372,100,70.836591
-0.567724,100,71.19955
-0.641007,100,71.56217
-0.526919,100,71.925825
-0.538435,100,72.290909
-0.511537,100,72.653853
-0.631703,100,73.017542
-0.505755,100,73.381026
-0.540705,100,73.747615
-0.571111,100,74.110297
-0.492462,100,74.473516
-0.558118,100,74.840262
-0.636151,100,75.204497
-0.74929,100,75.568538
-0.434889,100,75.933065
-0.755393,100,76.295049
-0.952784,100,76.660105
-0.683915,100,77.024491
-1.261495,100,77.631315
-1.958884,100,77.995069
-2.015485,100,78.357844
-1.794733,100,78.724805
-1.560211,100,79.0874
-1.057092,100,79.448822
-0.940098,100,79.81516
-0.954651,100,80.182588
-0.968023,100,80.546971
-0.818348,100,80.91159
-0.858327,100,81.275796
-0.649846,100,81.641617
-0.580466,100,82.001851
-0.633651,100,82.370421
-0.620057,100,82.739291
-0.504053,100,83.10315
-0.554886,100,83.464826
-0.477545,100,83.826329
-0.618976,100,84.190282
-0.451206,100,84.555216
-0.598126,100,84.918845
-0.685657,100,85.283901
-0.49385,100,85.648896
-0.808516,100,86.012523
-0.630208,100,86.375708
-0.62749,100,86.74195
-0.76479,100,87.105596
-0.654731,100,87.473217
-1.025652,100,87.836269
-0.980636,100,88.200596
-0.896589,100,88.561864
-0.881258,100,88.924843
-0.868308,100,89.288401
-0.760746,100,89.652161
-0.888123,100,90.016375
-0.809774,100,90.37961
-0.618339,100,90.747631
-0.833242,100,91.111969
-0.7471,100,91.475769
-0.656747,100,91.838037
-0.676239,100,92.199535
-0.894094,100,92.564114
-1.077826,100,92.928648
-0.897236,100,93.297252
-1.163041,100,93.663115
-0.84146,100,94.026268
-0.817857,100,94.389287
-0.868423,100,94.753753
-0.809846,100,95.123489
-0.537641,100,95.485062
-0.470605,100,95.849628
-0.426673,100,96.213433
-1.131337,100,96.575531
-2.300416,100,96.941063
-3.321698,100,97.306022
-3.631184,100,97.675775
-2.029754,100,98.040991
-2.083175,100,98.409093
-2.310556,100,98.776896
-0.891526,100,99.148397
-0.870502,100,99.513451
-0.422635,100,99.879447
-0.343767,100,100.241851
-0.435666,100,100.608011
-0.396411,100,100.973851
-0.419523,100,101.337039
-0.491457,100,101.701393
-0.893418,100,102.064363
-0.51747,100,102.426454
