r,r,mean_reward,std_reward,upper,lower,timesteps
-0.287929,-1.587312,-0.9376205,0.9188025306585197,-0.01881796934148028,-1.8564230306585197,100.0
-0.41404799999999997,-1.526571,-0.9703094999999999,0.7866725575260014,-0.18363694247399853,-1.7569820575260013,200.0
-0.48463500000000004,-1.552546,-1.0185905,0.7551271098037071,-0.26346339019629283,-1.773717609803707,300.0
-0.40842399999999995,-1.769049,-1.0887365,0.9621071641519463,-0.1266293358480537,-2.0508436641519463,400.0
-0.232582,-1.352159,-0.7923705000000001,0.7916604887604913,-0.0007100112395087566,-1.5840309887604915,500.0
-0.334712,-1.4209319999999999,-0.8778219999999999,0.7680735278604516,-0.1097484721395483,-1.6458955278604515,600.0
-0.473923,-1.45312,-0.9635214999999999,0.6923968388175238,-0.27112466118247613,-1.6559183388175236,700.0
-0.944998,-1.212433,-1.0787155,0.1891051020266244,-0.8896103979733756,-1.2678206020266243,800.0
-0.38700300000000004,-1.470858,-0.9289305,0.7664012203229453,-0.16252927967705466,-1.6953317203229452,900.0
-0.393355,-1.4134280000000001,-0.9033915000000001,0.7213005356053052,-0.18209096439469497,-1.6246920356053054,1000.0
-0.404792,-1.392916,-0.898854,0.6987091810531761,-0.2001448189468239,-1.597563181053176,1100.0
-0.5228079999999999,-1.212509,-0.8676585,0.4876922540911431,-0.3799662459088569,-1.3553507540911431,1200.0
-0.41906099999999996,-1.301242,-0.8601515,0.6237961673339297,-0.23635533266607023,-1.4839476673339296,1300.0
-0.354275,-1.8817110000000001,-1.117993,1.0800603534284556,-0.03793264657154438,-2.1980533534284556,1400.0
-0.440799,-1.408708,-0.9247535,0.68441501747149,-0.24033848252850998,-1.60916851747149,1500.0
-0.475995,-1.583661,-1.029828,0.7832381398897784,-0.24658986011022155,-1.8130661398897785,1600.0
-0.574858,-1.24642,-0.910639,0.4748660441872003,-0.4357729558127997,-1.3855050441872003,1700.0
-1.044034,-1.475025,-1.2595295,0.3047566587303714,-0.9547728412696286,-1.5642861587303714,1800.0
-0.402467,-1.452446,-0.9274564999999999,0.7424472710034699,-0.18500922899653005,-1.6699037710034697,1900.0
