#{"t_start": 1589952056.6874142, "env_id": "widowx_reach-v3"}
r,l,t
-1.403392,100,2.429851
-1.954079,100,2.505328
-2.487987,100,2.581834
-1.068522,100,2.655139
-1.525478,100,2.730798
-2.619912,100,2.80625
-2.06036,100,2.883842
-1.944826,100,2.959413
-1.672311,100,3.03582
-1.884484,100,3.111069
-1.52414,100,4.055392
-0.989303,100,4.112816
-1.644024,100,4.170212
-1.609074,100,4.227561
-1.380699,100,4.285012
-1.652056,100,4.342375
-1.065245,100,4.399775
-0.847919,100,4.457106
-1.876533,100,4.514472
-1.61776,100,4.571861
-1.214859,100,4.747563
-1.633175,100,4.805042
-2.321314,100,4.862533
-1.670587,100,4.920012
-1.545471,100,4.977565
-1.335602,100,5.035043
-1.99946,100,5.092571
-1.301972,100,5.150044
-1.425527,100,5.207517
-1.268334,100,5.26501
-1.033391,100,5.440131
-1.099613,100,5.497693
-1.233697,100,5.555164
-2.093678,100,5.612883
-1.902813,100,5.670422
-1.657757,100,5.727951
-2.059784,100,5.785572
-1.432921,100,5.84317
-2.552423,100,5.900781
-1.218302,100,5.958325
-1.667811,100,6.132108
-1.65839,100,6.18957
-1.54741,100,6.246966
-1.093345,100,6.3044
-1.375746,100,6.361901
-1.797896,100,6.419285
-1.496969,100,6.476784
-1.476495,100,6.53422
-1.993035,100,6.591547
-1.804714,100,6.648925
-1.794375,100,6.706351
-1.706392,100,6.879715
-2.005489,100,6.937272
-1.179718,100,6.994741
-1.583467,100,7.052336
-1.865865,100,7.109941
-1.370474,100,7.167438
-1.657117,100,7.225
-2.248658,100,7.282616
-2.722378,100,7.340147
-2.204936,100,7.397851
-2.184256,100,7.572035
-1.280495,100,7.629621
-2.510651,100,7.687249
-1.200655,100,7.74482
-1.358557,100,7.802337
-1.918163,100,7.859931
-1.921521,100,7.917469
-2.4917,100,7.97515
-2.305784,100,8.032687
-1.670267,100,8.09027
-2.036637,100,8.264348
-1.994926,100,8.321925
-2.039366,100,8.379421
-0.865666,100,8.436939
-1.658537,100,8.494431
-1.902601,100,8.55199
-1.040233,100,8.609515
-1.166082,100,8.667355
-1.516401,100,8.724921
-1.622739,100,8.782476
-1.354374,100,8.956443
-1.290272,100,9.013827
-1.555871,100,9.071192
-1.62407,100,9.128504
-1.240255,100,9.185791
-1.244245,100,9.243116
-2.055774,100,9.300403
-1.243651,100,9.357807
-1.852154,100,9.415208
-1.553993,100,9.472566
-1.579179,100,9.529962
-1.059242,100,9.704018
-2.074205,100,9.76162
-1.989637,100,9.819097
-1.744823,100,9.876601
-2.06866,100,9.934142
-1.948421,100,9.991694
-1.081856,100,10.049311
-1.817808,100,10.106868
-1.715249,100,10.586823
-2.15196,100,10.644819
-1.09543,100,10.819803
-1.529141,100,10.877616
-1.586151,100,10.935471
-1.610755,100,10.993272
-2.075684,100,11.051115
-1.096659,100,11.108881
-1.878266,100,11.166589
-1.091134,100,11.224319
-1.575582,100,11.28196
-2.733761,100,11.339665
-1.772571,100,11.514562
-1.231416,100,11.572319
-1.334469,100,11.63003
-1.615511,100,11.687747
-1.455763,100,11.745651
-2.494837,100,11.803521
-1.267481,100,11.861239
-1.452399,100,11.918967
-0.950955,100,11.976635
-1.714908,100,12.034255
-2.247567,100,12.208023
-1.151814,100,12.265651
-1.213069,100,12.323289
-1.479571,100,12.380892
-1.435118,100,12.438468
-1.49723,100,12.496092
-1.697331,100,12.553703
-1.310865,100,12.611244
-0.956423,100,12.668795
-1.158527,100,12.726367
-1.488942,100,12.784009
-1.670278,100,12.957882
-1.44411,100,13.015672
-1.597072,100,13.073462
-1.064681,100,13.131181
-1.114531,100,13.188868
-1.495078,100,13.246689
-1.197408,100,13.304454
-1.314287,100,13.362219
-2.574007,100,13.419912
-0.938287,100,13.477647
-1.975147,100,13.652488
-1.387984,100,13.710119
-1.635757,100,13.767681
-1.14961,100,13.825232
-2.265327,100,13.882812
-1.266259,100,13.940544
-1.156828,100,13.998298
-2.376741,100,14.055998
-1.783949,100,14.113685
-1.232693,100,14.171239
-1.208264,100,14.344901
-1.414145,100,14.402633
-1.035838,100,14.460354
-1.809102,100,14.518089
-1.78911,100,14.57586
-1.547826,100,14.633537
-1.345988,100,14.691167
-1.200258,100,14.748855
-1.214308,100,14.806472
-1.257193,100,14.868314
-1.269721,100,15.044096
-1.155549,100,15.101894
-1.760668,100,15.15949
-1.70379,100,15.217198
-1.699673,100,15.274917
-1.809743,100,15.332697
-1.672681,100,15.390356
-1.610282,100,15.448055
-1.791083,100,15.505808
-1.73725,100,15.563671
-1.960751,100,15.621379
-1.639408,100,15.794751
-1.279476,100,15.85252
-1.360783,100,15.910272
-2.16681,100,15.968121
-1.451316,100,16.025962
-1.618437,100,16.083836
-1.513707,100,16.14164
-1.484086,100,16.199428
-1.692176,100,16.257273
-1.675556,100,16.315053
-0.903948,100,16.489546
-1.431349,100,16.547577
-1.086724,100,16.60539
-1.196793,100,16.663192
-1.901911,100,16.721039
-1.506238,100,16.778864
-1.523761,100,16.836658
-1.760526,100,16.894429
-1.087028,100,16.952246
-1.357852,100,17.010114
-1.585683,100,17.184279
-0.912537,100,17.242142
-1.564279,100,17.299874
-1.570366,100,17.357764
-1.388653,100,17.415539
-1.359696,100,17.473307
-1.640531,100,17.841723
-1.55761,100,17.89967
-1.119886,100,17.957341
-1.487752,100,18.014978
-1.997817,100,18.190723
-1.590229,100,18.248575
-1.955031,100,18.306276
-0.897229,100,18.363973
-1.290755,100,18.421564
-1.704464,100,18.479209
-0.91571,100,18.536848
-1.218049,100,18.594536
-1.406811,100,18.652067
-0.934201,100,18.709561
-2.162172,100,18.767091
-1.94125,100,18.945328
-1.230592,100,19.00298
-0.642022,100,19.06063
-1.591959,100,19.118297
-1.285588,100,19.175968
-1.467079,100,19.233605
-1.015879,100,19.291213
-0.916159,100,19.348835
-1.257334,100,19.406369
-1.235589,100,19.463985
-1.872661,100,19.639778
-1.255708,100,19.69753
-1.213105,100,19.75525
-0.824923,100,19.81287
-1.080275,100,19.870525
-1.659258,100,19.928231
-1.487102,100,19.985867
-0.877685,100,20.043483
-1.499582,100,20.101189
-0.933601,100,20.158898
-1.581652,100,20.332517
-1.217516,100,20.390158
-1.277135,100,20.447693
-0.933818,100,20.505322
-1.678985,100,20.562922
-1.042935,100,20.620609
-0.953286,100,20.678295
-1.229235,100,20.735878
-1.663,100,20.793507
-0.776354,100,20.851091
-1.408219,100,21.025416
-1.24397,100,21.083236
-1.479481,100,21.14092
-1.40595,100,21.198658
-1.38883,100,21.256301
-1.381431,100,21.313993
-1.332275,100,21.371765
-0.992265,100,21.429425
-1.509995,100,21.48709
-1.494229,100,21.544826
-1.671859,100,21.602569
-1.253748,100,21.776415
-1.543954,100,21.834032
-1.07756,100,21.891732
-0.757899,100,21.94942
-1.637428,100,22.007019
-1.473498,100,22.064792
-1.569659,100,22.122515
-1.299601,100,22.180267
-1.004459,100,22.237994
-1.854877,100,22.295734
-1.779323,100,22.469863
-1.138356,100,22.52758
-1.739361,100,22.585264
-1.842119,100,22.642928
-1.502338,100,22.700516
-1.730233,100,22.75811
-1.851473,100,22.815823
-0.969719,100,22.873498
-1.143353,100,22.934479
-1.07416,100,22.992229
-1.239637,100,23.167174
-1.41779,100,23.224915
-1.63736,100,23.28259
-1.772441,100,23.340144
-1.082683,100,23.397732
-0.978411,100,23.455405
-1.093231,100,23.513081
-1.459166,100,23.57074
-0.931093,100,23.628354
-0.904159,100,23.685971
-1.305421,100,23.860129
-1.025014,100,23.917856
-1.345489,100,23.975525
-0.785008,100,24.033152
-1.411199,100,24.090861
-0.907088,100,24.148515
-0.844368,100,24.206187
-0.823195,100,24.263809
-1.103305,100,24.32138
-1.50633,100,24.37897
-1.184006,100,24.552703
-0.721818,100,24.610375
-1.127986,100,24.66799
-1.213904,100,24.725545
-1.548365,100,25.076804
-1.140756,100,25.134395
-1.394699,100,25.191899
-1.233792,100,25.249484
-1.658184,100,25.306996
-1.079266,100,25.36449
-0.794399,100,25.422037
-1.564465,100,25.596166
-1.190869,100,25.653984
-1.079354,100,25.711788
-0.928279,100,25.769503
-1.232962,100,25.827299
-1.061009,100,25.885942
-0.9245,100,25.944337
-1.06085,100,26.002772
-0.838166,100,26.061145
-1.12502,100,26.119496
-0.914566,100,26.295326
-0.881425,100,26.353652
-1.364151,100,26.411957
-0.988072,100,26.470328
-1.349153,100,26.52864
-1.195542,100,26.586944
-1.168213,100,26.645232
-0.761953,100,26.70349
-2.049355,100,26.761742
-0.810047,100,26.820136
-1.460623,100,26.995644
-0.769409,100,27.054041
-1.015005,100,27.112373
-0.967454,100,27.170665
-1.199533,100,27.229032
-0.834476,100,27.287318
-1.098983,100,27.345619
-0.89466,100,27.403941
-0.884687,100,27.462213
-0.937192,100,27.520492
-1.450382,100,27.695524
-0.752047,100,27.753858
-1.465466,100,27.812073
-1.551129,100,27.870277
-1.197955,100,27.928473
-0.775538,100,27.986637
-1.101518,100,28.052904
-1.225686,100,28.111346
-1.016982,100,28.169574
-1.334208,100,28.22783
-0.902299,100,28.2861
-0.952087,100,28.468817
-1.030256,100,28.527035
-0.939362,100,28.585232
-1.178914,100,28.646545
-1.437036,100,28.70481
-0.662796,100,28.763054
-1.261614,100,28.821239
-1.153887,100,28.879523
-1.008903,100,28.937799
-1.083577,100,28.996008
-1.238067,100,29.172127
-1.451737,100,29.230319
-1.084041,100,29.288446
-0.687404,100,29.346638
-1.372383,100,29.404835
-1.183681,100,29.462967
-1.316232,100,29.521106
-1.14396,100,29.579244
-0.936145,100,29.637422
-1.125841,100,29.695616
-1.489444,100,29.870756
-0.842889,100,29.929103
-1.516081,100,29.987376
-1.248674,100,30.045703
-1.542627,100,30.103985
-1.273758,100,30.162215
-1.40774,100,30.220526
-0.701436,100,30.278744
-0.710429,100,30.336948
-0.633516,100,30.395163
-0.678968,100,30.5705
-1.033785,100,30.628765
-0.774202,100,30.686945
-1.059453,100,30.745159
-1.093564,100,30.803329
-1.29746,100,30.861538
-1.088887,100,30.919763
-0.652234,100,30.97796
-1.586529,100,31.036114
-0.609335,100,31.094305
-0.963528,100,31.152475
-0.929935,100,31.328134
-1.046462,100,31.386266
-1.127599,100,31.444434
-0.753098,100,31.502593
-1.541667,100,31.560744
-1.566236,100,31.61885
-0.557502,100,31.677075
-1.054483,100,31.735216
-0.790722,100,31.796125
-0.86818,100,31.854242
-1.038682,100,32.031431
-0.964738,100,32.398055
-1.146348,100,32.456119
-0.758038,100,32.514208
-0.846659,100,32.572325
-1.397514,100,32.630581
-0.811273,100,32.688857
-0.72811,100,32.747141
-1.538109,100,32.805314
-1.015913,100,32.86353
-0.785553,100,33.039045
-0.533372,100,33.097328
-0.748616,100,33.155629
-0.760254,100,33.213859
-0.990821,100,33.272164
-1.02264,100,33.330368
-1.239458,100,33.388685
-1.127331,100,33.446975
-1.039956,100,33.505272
-1.367445,100,33.563632
-0.882611,100,33.739226
-1.563826,100,33.797577
-0.788906,100,33.855956
-1.048867,100,33.914346
-1.164713,100,33.972703
-1.004773,100,34.031074
-0.900211,100,34.089481
-0.822107,100,34.147915
-0.716508,100,34.206355
-1.070498,100,34.264772
-0.657988,100,34.323104
-0.843282,100,34.498518
-1.028315,100,34.556767
-0.771541,100,34.615008
-1.328995,100,34.673231
-0.881547,100,34.731464
-0.812664,100,34.789785
-1.130653,100,34.848064
-1.596799,100,34.909347
-0.638576,100,34.967771
-1.515308,100,35.026061
-0.787073,100,35.201706
-1.190663,100,35.260059
-1.011528,100,35.318396
-0.723298,100,35.376793
-0.938868,100,35.435057
-0.799118,100,35.493323
-1.150655,100,35.551579
-1.263422,100,35.609803
-0.813606,100,35.668045
-0.925745,100,35.726273
-0.633795,100,35.902395
-0.753215,100,35.960721
-1.036095,100,36.021323
-0.74543,100,36.079568
-0.943671,100,36.137742
-0.907582,100,36.195937
-0.821466,100,36.254161
-0.87226,100,36.312402
-0.644735,100,36.370638
-0.833993,100,36.428788
-0.791955,100,36.603803
-1.196611,100,36.662039
-0.862463,100,36.72028
-0.844514,100,36.778492
-0.804232,100,36.836705
-0.90353,100,36.894952
-0.956163,100,36.953148
-1.185862,100,37.011518
-0.801853,100,37.069796
-0.916963,100,37.12805
-0.722846,100,37.186386
-0.769609,100,37.362243
-0.95013,100,37.420454
-1.1463,100,37.478649
-0.802311,100,37.536796
-0.812304,100,37.594946
-0.949569,100,37.653196
-1.334525,100,37.7114
-0.968809,100,37.769523
-1.129787,100,37.827748
-0.830935,100,37.885975
-0.584381,100,38.06149
-0.87357,100,38.119679
-0.818969,100,38.177873
-0.614646,100,38.236077
-1.075465,100,38.294248
-0.680352,100,38.352397
-1.108507,100,38.410552
-0.83325,100,38.468782
-0.67317,100,38.526838
-0.614255,100,38.584958
-0.705748,100,38.759517
-0.960679,100,38.817624
-0.897151,100,38.875844
-0.574826,100,38.934052
-0.957949,100,38.99217
-0.744516,100,39.050422
-0.767504,100,39.108567
-0.776444,100,39.166738
-0.734693,100,39.224873
-0.703994,100,39.576587
-0.972582,100,39.75155
-1.020485,100,39.80991
-0.784405,100,39.868003
-0.753107,100,39.930068
-0.785706,100,39.988211
-0.724473,100,40.046252
-0.717285,100,40.104395
-1.190016,100,40.162459
-1.149029,100,40.220482
-0.990584,100,40.278543
-0.613552,100,40.336601
-0.95686,100,40.513797
-0.802351,100,40.572022
-0.653315,100,40.630286
-1.00196,100,40.688485
-0.646263,100,40.746668
-0.95328,100,40.804921
-0.962138,100,40.863111
-0.805716,100,40.921274
-1.173694,100,40.979451
-0.88717,100,41.037589
-0.83033,100,41.213162
-1.173266,100,41.27125
-0.508971,100,41.329371
-0.653271,100,41.387511
-0.9049,100,41.445613
-0.616013,100,41.503726
-0.612658,100,41.561859
-0.931823,100,41.619909
-0.734546,100,41.67781
-0.643983,100,41.735809
-0.731677,100,41.911197
-0.665834,100,41.969372
-0.826122,100,42.027514
-0.770143,100,42.085616
-0.852701,100,42.143679
-0.694823,100,42.201815
-0.968817,100,42.259887
-0.760915,100,42.317949
-0.808415,100,42.376011
-0.710514,100,42.434078
-1.227804,100,42.609249
-0.938911,100,42.667437
-0.796296,100,42.725574
-0.694837,100,42.783776
-0.587584,100,42.841943
-0.641754,100,42.900176
-1.005814,100,42.958431
-0.748525,100,43.016588
-0.771197,100,43.074741
-0.692962,100,43.132876
-0.695323,100,43.31272
-0.712202,100,43.370943
-1.106017,100,43.429106
-0.816842,100,43.487265
-0.768894,100,43.545399
-1.116063,100,43.603522
-0.489066,100,43.661603
-0.590491,100,43.719717
-1.026913,100,43.777823
-0.590457,100,43.835962
-1.368746,100,43.894324
-1.493474,100,44.072352
-0.627523,100,44.130655
-0.628295,100,44.189003
-0.717692,100,44.247184
-0.720632,100,44.305399
-0.711144,100,44.363685
-0.811126,100,44.421961
-0.741412,100,44.480201
-0.892146,100,44.538403
-0.480775,100,44.596642
-1.092321,100,44.776654
-0.841757,100,44.834881
-0.752698,100,44.893076
-0.630529,100,44.951233
-0.763106,100,45.009421
-0.768822,100,45.067583
-0.800217,100,45.12569
-0.998009,100,45.183836
-1.014624,100,45.242044
-0.588459,100,45.300224
-0.859219,100,45.479514
-0.576932,100,45.537753
-0.725063,100,45.595944
-0.5994,100,45.654137
-0.680928,100,45.712268
-0.618663,100,45.770506
-0.984,100,45.828708
-1.043051,100,45.886794
-0.59563,100,45.944951
-0.608227,100,46.005287
-0.551395,100,46.185123
-0.843275,100,46.243175
-0.634709,100,46.301141
